innoscape_ref_prodcategory1_seller,innoscape_ref_prodcategory2_seller,innoscape_ref_productfamily_seller
"carrelage, parquet et sol souple","lame, dalle et sol pvc",sol pvc en rouleau
"carrelage, parquet et sol souple","parquet, stratifié et plancher",barre de seuil et nez de marche
"carrelage, parquet et sol souple","parquet, stratifié et plancher",plinthe pour parquet et stratifié
chauffage et plomberie,chauffe-eau et ballon d'eau chaude,accessoires chauffe-eau
chauffage et plomberie,chauffe-eau et ballon d'eau chaude,chauffe-eau gaz
chauffage et plomberie,chauffe-eau et ballon d'eau chaude,chauffe-eau électrique
chauffage et plomberie,equipement wc et accessoires robinet,"fixation, pipe et joint de wc"
chauffage et plomberie,evacuation des eaux usées,"vidage, bonde et siphon"
chauffage et plomberie,production d'énergie et de chauffage renouvelable,accessoires chauffe-eau
chauffage et plomberie,production d'énergie et de chauffage renouvelable,chauffe-eau thermodynamique
chauffage et plomberie,"radiateur, sèche-serviettes, chaudière, régulation et climatiseur",chaudière
chauffage et plomberie,traitement de l'eau et adoucisseur,adoucisseur
chauffage et plomberie,"vmc, aérateur et déshumidificateur",aérateur et vmc
chauffage et plomberie,"vmc, aérateur et déshumidificateur",conduit et accessoires d'aération
chauffage et plomberie,"vmc, aérateur et déshumidificateur","purificateur, déshumidificateur et humidificateur"
cuisine,"electroménager, four, hotte, réfrigérateur et plaque de cuisson",accessoires pour electroménager-four-hotte-réfrigérateur-plaque de cuisson
cuisine,"electroménager, four, hotte, réfrigérateur et plaque de cuisson","electroménager, four, hotte, réfrigérateur et plaque de cuisson"
divers,divers,divers
décoration et eclairage,luminaires,ampoules et leds
electricité et domotique,interrupteur et prise,interrupteurs et prises
electricité et domotique,interrupteur et prise,multiprise et parafoudre
electricité et domotique,tableau électrique,"accessoires du tableau électrique (bornier, peigne, …)"
electricité et domotique,tableau électrique,disjoncteur de branchement
electricité et domotique,tableau électrique,"disjoncteur, coupe-circuit et interrupteur différentiel"
electricité et domotique,tableau électrique,tableau électrique et coffret de communication
matériaux et menuiserie,etanchéité des murs et sols,anti-mousse
matériaux et menuiserie,etanchéité des murs et sols,mastic colle etanchéité
matériaux et menuiserie,evacuation et traitement des eaux,"gouttière, descente et accessoires"
matériaux et menuiserie,gros oeuvre,accessoires d'enduit de façade
matériaux et menuiserie,gros oeuvre,"béton, chaux, ciment, enduit, mortier, ragréage et accessoires"
matériaux et menuiserie,gros oeuvre,"fer à béton (chaînage, treillis soudé, …)"
matériaux et menuiserie,gros oeuvre,grillage avertisseur et gaine de protection
matériaux et menuiserie,gros oeuvre,montage traditionnel de cheminée
matériaux et menuiserie,isolation,accessoire d'isolation
matériaux et menuiserie,isolation,mousse expansive
matériaux et menuiserie,"panneau bois, tablette, étagère, tasseau, moulure et plinthe","plinthe bois, plinthe mdf, plinthe pvc"
matériaux et menuiserie,"toiture, charpente et bardage",accessoires couverture
matériaux et menuiserie,"toiture, charpente et bardage",bardage
matériaux et menuiserie,"toiture, charpente et bardage",charpente
matériaux et menuiserie,"toiture, charpente et bardage",couverture
outillage,machine d'atelier et gros outillage,accessoires outillage stationnaire
outillage,machine d'atelier et gros outillage,outillage stationnaire
outillage,matériel et aménagement de l'atelier,"aspirateur, nettoyeur vapeur et accessoires"
outillage,matériel et aménagement de l'atelier,compresseur et accessoires
outillage,matériel et aménagement de l'atelier,eclairage de chantier
outillage,matériel et aménagement de l'atelier,radio de chantier
outillage,outillage spécialisé,outillage du carreleur
outillage,outillage spécialisé,outillage du maçon
outillage,outillage spécialisé,"outillage du menuisier, ébéniste"
outillage,outillage spécialisé,outillage du peintre
outillage,outillage spécialisé,outillage du plaquiste
outillage,outillage spécialisé,outillage du plombier
outillage,outillage spécialisé,outillage du soudeur
outillage,outillage spécialisé,outillage du tapissier
outillage,outillage spécialisé,outillage du vitrier
outillage,outillage à main,clé et douille
outillage,outillage à main,"cutter, scalpel et ciseaux"
outillage,outillage à main,lime et râpe
outillage,outillage à main,marteau
outillage,outillage à main,mise à niveau et détection
outillage,outillage à main,pince et tenaille
outillage,outillage à main,pistolet à colle et agrafeuse
outillage,outillage à main,scie à main
outillage,outillage à main,"tournevis (cruciforme, aimanté, de précision…)"
outillage,outillage électroportatif,accessoires et consommables outillage électroportatif
outillage,outillage électroportatif,batterie et chargeur
outillage,outillage électroportatif,divers oep
outillage,outillage électroportatif,décapeur thermique
outillage,outillage électroportatif,défonceuse et lamelleuse
